0016,0000,2001-1-1,2004-6-8,0000
0006,0000,2004-6-8,2010-8-1,0000
0002,0000,2010-8-1,2011-11-11,available
0014,0000,2011-11-11,2013-12-12,available
0010,0000,2013-12-12,2015-3-20,0000
0020,0000,2015-3-20,2016-6-9,0000
0004,0000,2016-6-9,2017-6-12,available
0018,0000,2017-6-12,2018-11-21,available
0017,0000,2018-11-21,2018-12-3,available
0003,0000,2018-12-3,2019-3-9,available
0011,0000,2019-3-9,2020-4-21,0000
0008,0000,2020-4-21,2020-6-8,available
0012,0000,2020-6-8,2021-3-20,0000
0007,0000,2021-3-20,2021-12-9,0000
0019,0000,2021-12-9,2022-2-20,0000
0013,0000,2022-2-20,2022-7-21,0000
0009,0000,2022-7-21,2022-8-21,available
0005,0000,2022-8-21,2022-11-14,available
0001,0000,2022-11-14,2022-11-21,available
0015,0000,2022-11-21,2022-12-05,0000
0001,0000,2022-12-08,2022-12-08,0000
0002,0000,2022-12-08,2022-12-08,available
0003,0000,2022-12-08,2022-12-08,0002
0004,0000,2022-12-08,2022-12-08,available
0005,0000,2022-12-08,2022-12-08,available
0003,0001,2022-12-08,2022-12-08,0000
0004,0001,2022-12-08,2022-12-08,0000
0005,0001,2022-12-08,2022-12-08,0000
0001,0000,2022-12-12,2022-12-12,0015
0001,0015,2022-12-12,2022-12-12,available
0001,0000,2022-12-12,2022-12-12,0000
0001,0000,2022-12-12,2022-12-15,0000
0005,0000,2022-12-12,2022-12-15,0000
0012,0000,2022-12-15,2022-12-15,available
0010,0000,2022-12-15,2022-12-15,available
0020,0000,2022-12-15,2022-12-15,0000
0013,0000,2022-12-15,2022-12-15,available
0015,0000,2022-12-15,2022-12-15,available
0007,0000,2022-12-15,2022-12-15,0000
0003,0000,2022-12-15,2022-12-15,0000
0001,0000,2022-12-15,2022-12-15,0000
0019,0000,2022-12-15,2022-12-15,available
0011,0000,2022-12-15,2022-12-15,available
0016,0000,2022-12-15,2022-12-15,available
0003,0000,2022-12-15,2022-12-15,available
0004,0000,2022-12-15,2022-12-15,available
0005,0000,2022-12-15,2022-12-15,available
0006,0000,2022-12-15,2022-12-15,available
0007,0000,2022-12-15,2022-12-15,available
0020,0000,2022-12-15,2022-12-15,available
0001,0000,2022-12-19,2022-12-19,available
